id,name,birthdate,deathdate
1558,Collins Pennie,1985-06-20,
1559,Colm Feore,1958-08-22,
1560,Common,1972-03-13,
1561,Conchata Ferrell,1943-03-28,
1562,Conleth Hill,1964-11-24,
1563,Connie Nielsen,1965-07-03,
1564,Connie Ray,1956-07-10,
1565,Connor Corum,,
1566,Connor Paolo,1990-07-11,
1567,Conor McMahon,,
1568,Conor McPherson,1971-08-06,
1569,Conrad Coates,,
1570,Conrad Dunn,,
1571,Conrad Goode,1962-01-09,
1572,Conrad Kemp,,
1573,Conrad Veidt,1893-01-22,1943-04-03
1574,Conrad Vernon,1968-07-11,
1575,Constance Marie,1965-09-09,
1576,Constance Shulman,1958-04-04,
1577,Constance Wu,1982-03-22,
1578,Consuelo Gómez,,
1579,Corbin Allred,1979-05-25,
1580,Corbin Bernsen,1954-09-07,
1581,Corbin Bleu,1989-02-21,
1582,Corey Grant,,
1583,Corey Johnson,1961-05-17,
1584,Corey Sevier,1984-07-03,
1585,Corey Yuen,,
1586,Corinna Harney,1972-02-20,
1587,Corlandos Scott,,
1588,Cornel Wilde,1912-10-13,1989-10-16
1589,Cory Edwards,,
1590,Cory Hardrict,1979-11-09,
1591,Costa-Gavras,1933-02-12,
1592,Costas Mandylor,1965-09-03,
1593,Countess Vaughn,1978-08-08,
1594,Courtney B. Vance,1960-03-12,
1595,Courtney Bell,1978-06-04,
1596,Courtney Gains,1965-08-22,
1597,Courtney Hunt,,
1598,Courtney Love,1964-07-09,
1599,Courtney Solomon,1971-09-01,
1600,Coyote Shivers,1965-09-24,
1601,Craig Bierko,1964-08-18,
1602,Craig Bolotin,1954-05-23,
1603,Craig Brewer,1971-12-06,
1604,Craig Conway,,
1605,Craig Dougherty,,
1606,Craig Fairbrass,,
1607,Craig Ferguson,1962-05-17,
1608,Craig Gillespie,1967-09-01,
1609,Craig Hall,,
1610,Craig Johnson,1973-12-17,
1611,Craig Mazin,1971-04-08,
1612,Craig Moss,,
1613,Craig Parker,1970-11-12,
1614,Craig R. Baxley,1949-10-20,
1615,Craig Roberts,1991-01-21,
1616,Craig Sheffer,1960-04-23,
1617,Craig Stark,,
1618,Craig T. Nelson,1944-04-04,
1619,Craig Zobel,,
1620,Cree Kelly,,
1621,Cree Summer,1969-07-07,
1622,Cristián de la Fuente,1974-03-10,
1623,Cristian Mungiu,1968-04-27,
1624,Crystal Lowe,1981-01-20,
1625,Crystal R. Fox,,
1626,Cullen Douglas,1967-11-06,
1627,Currie Graham,1967-02-26,
1628,Curt Doussett,,
1629,Curtis Armstrong,1953-11-27,
1630,Curtis Hanson,1945-03-24,2016-09-20
1631,Curtiss Cook,,
1632,Cybill Shepherd,1950-02-18,
1633,Cyd Charisse,1921-03-08,2008-06-17
1634,Cyndi Lauper,1953-06-22,
1635,Cynthia Barrett,,
1636,Cynthia Geary,1965-03-21,
1637,Cynthia Myers,,
1638,Cynthia Nixon,1966-04-09,
1639,Cynthia Rhodes,1956-11-21,
1640,Cynthia Stevenson,1962-08-02,
1641,Cynthia Watros,1968-09-02,
1642,Cyril Raffaelli,1974-04-01,
1643,Cyrus Nowrasteh,1956-09-19,
1644,D. David Morin,1955-04-20,
1645,D. Stevens,1982-10-10,
1646,D.B. Sweeney,1961-11-14,
1647,D.B. Woodside,1969-07-25,
1648,D.J. Caruso,1965-01-17,
1649,D.W. Griffith,1875-01-22,1948-07-23
1650,Dabney Coleman,1932-01-03,
1651,Dagmara Dominczyk,1976-07-17,
1652,Dagur Kári,1973-12-12,
1653,Dahong Ni,,
1654,Daisy Betts,,
1655,Daisy Ridley,1992-04-10,
1656,Daisy von Scherler Mayer,1966-09-14,
1657,Dal-su Oh,1968-06-15,
1658,Dalia Hernández,1985-08-14,
1659,Dalip Singh,1972-08-27,
1660,Dallas Barnett,1964-02-29,
1661,Dallas Roberts,1970-05-10,
1662,Dameon Clarke,1972-01-16,
1663,Damián Alcázar,1953-01-08,
1664,Damián Delgado,,
1665,Damian Jewan Lee,,
1666,Damian Lewis,1971-02-11,
1667,Damian Nieman,,
1668,Damian Walshe-Howling,1971-01-22,
1669,Damien Chazelle,1985-01-19,
1670,Damien Dante Wayans,1980-04-15,
1671,Damien Garvey,,
1672,Damien O'Donnell,,
1673,Damir Catic,,
1674,Damon Albarn,1968-03-23,
1675,Damon Owlia,,
1676,Damon Santostefano,,
1677,Damon Wayans,1960-09-04,
1678,Damon Wayans Jr.,1982-11-18,
1679,Dan Bakkedahl,1969-11-18,
1680,Dan Bilzerian,,
1681,Dan Byrd,1985-11-20,
1682,Dan Curtis,1927-08-12,2006-03-27
1683,Dan Cutforth,1967-04-24,
1684,Dan Fogelman,,
1685,Dan Fogler,1976-10-20,
1686,Dan Futterman,1967-06-08,
1687,Dan Gilroy,1959-06-24,
1688,Dan Harris,1971-07-26,
1689,Dan Hedaya,1940-07-24,
1690,Dan Hicks,,
1691,Dan Ireland,1958-05-11,2016-04-14
1692,Dan Mazer,,
1693,Dan Novy,,
1694,Dan O'Bannon,1946-09-30,2009-12-17
1695,Dan O'Herlihy,1919-05-01,2005-02-17
1696,Dan Perri,,
1697,Dan Reed,,
1698,Dan Rush,,
1699,Dan Scanlon,,
1700,Dan Trachtenberg,,
1701,Dan Zukovic,,
1702,Dana Andrews,1909-01-01,1992-12-17
1703,Dana Blackstone,,
1704,Dana Delany,1956-03-13,
1705,Dana Hanna,,
1706,Dana Ivey,1941-08-12,
1707,Dana Kimmell,1959-10-26,
1708,Dane Cook,1972-03-18,
1709,Dania Ramirez,,
1710,Daniel Algrant,1959-09-25,
1711,Daniel Auteuil,1950-01-24,
1712,Daniel Baldwin,1960-10-05,
1713,Daniel Barber,,
1714,Daniel Barnz,,
1715,Daniel Bernhardt,1965-08-31,
1716,Daniel Brochu,,
1717,Daniel Columbie,,
1718,Daniel Cudmore,1981-01-20,
1719,Daniel Davila,,
1720,Daniel Espinosa,1977-03-23,
1721,Daniel Franzese,1978-05-09,
1722,Daniel Giménez Cacho,1961-05-15,
1723,Daniel Henney,1979-11-28,
1724,Daniel Hsia,,
1725,Daniel Kaluuya,,
1726,Daniel Kash,1959-04-25,
1727,Daniel Lapaine,,
1728,Daniel Lee,,
1729,Daniel London,,
1730,Daniel Mays,1963-01-16,
1731,Daniel Mellitz,1972-01-23,
1732,Daniel Myrick,1963-09-03,
1733,Daniel Petrie Jr.,1920-11-26,2004-08-22
1734,Daniel Radcliffe,1989-07-23,
1735,Daniel Rindress-Kay,1988-07-19,
1736,Daniel Roebuck,1963-03-04,
1737,Daniel Sackheim,,
1738,Daniel Schechter,,
1739,Daniel Sharman,1986-04-25,
1740,Daniel Stamm,1976-04-20,
1741,Daniel Stern,1957-08-28,
1742,Daniel Stewart Sherman,1970-08-16,
1743,Daniel Taplitz,,
1744,Daniel Tay,1992-02-11,
1745,Daniel Travis,1968-03-10,
1746,Daniel von Bargen,1950-06-05,2015-03-01
1747,Daniel Wu,1974-09-30,
1748,Daniel Zettel,,
1749,Daniela Bianchi,1942-01-31,
1750,Daniele Luchetti,1960-07-26,
1751,Daniella Alonso,1978-09-22,
1752,Daniella Pineda,1987-02-20,
1753,Danielle Darrieux,1917-05-01,
1754,Danielle Kotch,,
1755,Danielle Savre,1988-08-26,
1756,Danielle von Zerneck,1965-12-21,
1757,Dann Florek,1950-05-01,
1758,Danneel Ackles,1979-03-18,
1759,Danny Aiello,1957-01-27,2010-05-01
1760,Danny Arroyo,1979-01-29,
1761,Danny Boyle,1956-10-20,
1762,Danny Cannon,,
1763,Danny DeVito,1944-11-17,
1764,Danny Dyer,1977-07-24,
1765,Danny Huston,1962-05-14,
1766,Danny Leiner,,
1767,Danny Masterson,1976-03-13,
1768,Danny Nucci,1968-09-15,
1769,Danny Pang,,
1770,Danny Perez,,
1771,Danny Pino,1974-04-15,
1772,Danny Provenzano,,
1773,Danny Rhodes,,
1774,Danny Sapani,1970-11-15,
1775,Danny Steinmann,1942-01-07,2012-12-18
1776,Danny Strong,1974-06-06,
1777,Danny Webb,,
1778,Danny Woodburn,1964-07-26,
1779,Dante Brown,,
1780,Dany Boon,1966-06-26,
1781,Dany Verissimo-Petit,1982-06-27,
1782,Daoming Chen,1955-04-26,
1783,Daphne Zuniga,1962-10-28,
1784,Darci Kistler,,
1785,Darcy Donavan,1985-11-20,
1786,Daren Kagasoff,1987-09-16,
1787,Darin Scott,,
1788,Dario Argento,1940-09-07,
1789,Dario Nozic Serini,,
1790,Darlene Love,1938-07-26,
1791,Darnell Martin,1964-01-07,
1792,Darrell Roodt,1962-04-28,
1793,Darren Aronofsky,1969-02-12,
1794,Darren Boyd,1971-01-30,
1795,Darren E. Burrows,1966-09-12,
1796,Darren Grant,,
1797,Darren Healy,,
1798,Darren Keefe Reiher,1975-07-04,
1799,Darren Kendrick,,
1800,Darren Lynn Bousman,1979-01-11,
1801,Darren McGavin,1922-05-07,2006-02-25
1802,Darren Shahlavi,1972-08-05,2015-01-14
1803,Darren Stein,1971-12-24,
1804,Darryl Cox,1955-04-08,
1805,Darryl Hunt,,
1806,Darryl Stephens,1974-03-07,
1807,Darshan Jariwala,1958-09-29,
1808,Darwin Shaw,,
1809,Daryl Hannah,1960-12-03,
1810,Daryl Sabara,1992-06-14,
1811,Daryl Wein,1983-12-23,
1812,Daryn Tufts,1973-04-01,
1813,Dash Mihok,1974-05-24,
1814,Daston Kalili,,
1815,Dato Bakhtadze,1966-05-20,
1816,Dave Allen,1944-10-22,1999-08-16
1817,Dave Annable,1979-09-15,
1818,Dave Borthwick,1947-07-26,2012-10-27
1819,Dave Carroll,,
1820,Dave Chappelle,1973-08-24,
1821,Dave Fennoy,1952-01-20,
1822,Dave Foley,1963-01-04,
1823,Dave Green,,
1824,Dave Legeno,1963-10-12,2014-07-06
1825,Dave McKean,1963-12-29,
1826,Dave Meyers,,
1827,Dave Payne,,
1828,Dave Rodriguez,1970-08-18,
1829,Dave Sheridan,,
1830,David A Cole,,
1831,David A.R. White,1970-05-12,
1832,David Adam Flannery,,
1833,David Agranov,,
1834,David Alan Basche,1968-08-25,
1835,David Alan Grier,1955-06-30,
1836,David Alpay,,
1837,David Anspaugh,1946-09-24,
1838,David Arquette,1971-09-08,
1839,David Atkins,,
1840,David Ayer,1968-01-18,
1841,David Backus,,
1842,David Bailie,,
1843,David Barnes,,
1844,David Belle,1973-04-29,
1845,David Bianchi,,
1846,David Bowers,,
1847,David Boyd,,
1848,David Caffrey,,
1849,David Calder,1946-08-01,
1850,David Carradine,1936-12-08,2009-06-03
1851,David Carson,,
1852,David Chandler,1925-05-24,2012-03-13
1853,David Clennon,1943-05-10,
1854,David Conrad,1967-08-17,
1855,David Costabile,,
1856,David Cronenberg,1943-03-15,
1857,David Cross,1964-04-04,
1858,David Dastmalchian,1977-07-21,
1859,David DeCoteau,1962-01-05,
1860,David Della Rocco,1952-05-04,
1861,David DeLuise,1971-11-11,
1862,David Dencik,1974-10-31,
1863,David Denman,1973-07-25,
1864,David Dobkin,1969-06-23,
1865,David Douglas,,
1866,David Duchovny,1960-08-07,
1867,David E. Talbert,,
1868,David Eigenberg,1964-05-17,
1869,David F. Sandberg,,
1870,David Fincher,1962-08-28,
1871,David Fine,,
1872,David Frankel,1959-04-02,
1873,David Frederick White,1960-05-25,
1874,David G. Evans,,
1875,David Gallagher,1985-02-09,
1876,David Gant,,
1877,David Gelb,1983-10-16,
1878,David Gordon Green,1975-04-09,
1879,David Gulpilil,1953-07-01,
1880,David Hackl,,
1881,David Harbour,1975-04-10,
1882,David Hayter,1969-02-06,
1883,David Hemmings,1941-11-18,2003-12-03
1884,David Herman,1967-02-20,
1885,David Hewlett,1968-04-18,
1886,David Heyman,1961-07-26,
1887,David Hoffman,,
1888,David Huddleston,1930-09-17,2016-08-02
1889,David Hunt,1953-02-16,
1890,David Hyde Pierce,1959-04-03,
1891,David Jacobson,,
1892,David Jason,1940-02-02,
1893,David Jason Perez,,
1894,David Julian Hirsh,1973-10-26,
1895,David Keith,1946-01-20,
1896,David Kellogg,,
1897,David Kelly,,
1898,David Kennedy,,
1899,David Koepp,1963-06-09,
1900,David Kross,1964-04-04,
1901,David LaChapelle,1963-03-11,
1902,David Lam,,
1903,David Lean,1908-03-25,1991-04-16
1904,David Lee Smith,1963-09-08,
1905,David Leland,1947-04-20,
1906,David Lewis,1916-10-19,2000-12-11
1907,David Lowery,,
1908,David Lynch,1946-01-20,
1909,David Lyons,1976-04-16,
1910,David M. Matthews,,
1911,David Mamet,1947-11-30,
1912,David Mann,,
1913,David Margulies,1937-02-19,2016-01-11
1914,David Masterson,1969-02-16,
1915,David McNally,,
1916,David Mersault,1958-08-19,
1917,David Mirkin,1955-09-18,
1918,David Moreau,,
1919,David Moscow,1974-11-14,
1920,David Murray,,
1921,David Niven,1910-03-01,1983-07-29
1922,David Nixon,1919-12-29,1978-12-01
1923,David Nutter,,
1924,David O. Russell,1958-08-20,
1925,David O'Hara,1965-07-09,
1926,David Oakes,1983-10-14,
1927,David Oelhoffen,,
1928,David Ogden Stiers,1942-10-31,
1929,David Opatoshu,1918-01-30,1996-04-30
1930,David Oyelowo,1976-04-01,
1931,David Palmer,,
1932,David Pastor,1978-07-25,
1933,David Patrick Kelly,1951-01-23,
1934,David Paymer,1954-08-30,
1935,David Proval,1942-05-20,
1936,David R. Ellis,1952-09-08,2013-01-07
1937,David Raizor,,
1938,David Ramsey,1971-11-17,
1939,David Rasche,1944-08-07,
1940,David Ray,1968-02-24,
1941,David Raynr,1961-03-17,
1942,David Richmond-Peck,,
1943,David Robert Mitchell,,
1944,David S. Goyer,1965-12-22,
1945,David S. Ward,1920-12-19,1987-02-22
1946,David Schaal,1963-05-27,
1947,David Schneider,,
1948,David Schwimmer,1966-11-02,
1949,David Silverman,1957-03-15,
1950,David Sington,,
1951,David Slade,1964-07-22,
1952,David Soren,,
1953,David Sparrow,1962-03-04,
1954,David Suchet,1946-05-02,
1955,David Sullivan,1968-02-04,
1956,David Thewlis,1963-03-20,
1957,David Thornton,1953-06-12,
1958,David Threlfall,1953-10-12,
1959,David Twohy,1955-10-18,
1960,David Wain,1969-08-01,
1961,David Walliams,1971-08-20,
1962,David Walton,1978-10-27,
1963,David Warbeck,1941-11-17,1997-07-23
1964,David Wayne,1964-07-22,
1965,David Webb Peoples,,
1966,David White,,
1967,David Winning,1961-05-08,
1968,David Winters,1939-04-05,
1969,David Worth,,
1970,David Yates,1963-10-08,
1971,David Zayas,1962-08-15,
1972,David Zucker,,
1973,Davis Guggenheim,1963-11-03,
1974,Dawn French,1957-10-11,
1975,Dax Flame,,
1976,Dayna Devon,1970-03-20,
1977,Dayo Okeniyi,,
1978,Dean Andrews,1963-08-06,
1979,Dean Dawson,,
1980,Dean DeBlois,1970-06-07,
1981,Dean Israelite,1984-09-20,
1982,Dean Jones,,
1983,Dean Parisot,,
1984,Dean Stockwell,1936-03-05,
1985,Dean Wright,,
1986,Deb Hagan,,
1987,Debbie Harry,1945-07-01,
1988,Debbie Reynolds,1932-04-01,2016-12-28
1989,Debi Derryberry,1960-09-27,
1990,Debi Mazar,1964-08-13,
1991,Deborah Anderson,,
1992,Deborah Foreman,1962-10-12,
1993,Deborah Kara Unger,1966-05-12,
1994,Deborah Kerr,1921-09-30,2007-10-16
1995,Deborah Mailman,1972-07-14,
1996,Déborah Révy,,
1997,Deborah Twiss,1971-12-22,
1998,Deborra-Lee Furness,1955-12-08,
1999,Debra Granik,1963-02-06,
2000,Debra Lynn Hull,,
2001,Debra Messing,1968-08-15,
2002,Debra Monk,1949-02-27,
2003,Debra Paget,1933-08-19,
2004,Debra Winger,1955-05-16,
2005,Debrah Farentino,1959-09-30,
2006,Debrianna Mansini,,
2007,Dee Bradley Baker,1962-08-31,
2008,Dee Wallace,1948-12-14,
2009,Deems Taylor,1885-12-22,1966-07-03
2010,Deepa Mehta,1950-01-01,
2011,DeForest Kelley,1920-01-20,1999-06-11
2012,Deirdre Lorenz,,
2013,Del Zamora,,
2014,Dell Yount,,
2015,Della Reese,1931-07-06,
2016,Delphine Chanéac,1978-11-14,
2017,Delroy Lindo,1952-11-18,
2018,Demetri Martin,1973-05-25,
2019,Demetrius Grosse,1981-02-26,
2020,Demi Moore,1962-11-11,
2021,Demián Bichir,1963-08-01,
2022,Demian Lichtenstein,,
2023,Dena Seidel,,
2024,Denden,1950-01-23,
2025,Dendrie Taylor,,
2026,Deneen Tyler,,
2027,Denholm Elliott,1922-05-31,1992-10-06
2028,Denis Lavant,1961-06-17,
2029,Denis Leary,1957-08-18,
2030,Denis O'Hare,1962-01-17,
2031,Denis Villeneuve,1967-10-03,
2032,Denise Boutte,1982-01-19,
2033,Denise Crosby,1957-11-24,
2034,Dennie Gordon,1953-05-09,
2035,Dennis Burkley,1945-09-10,2013-07-14
2036,Dennis Dugan,1946-09-05,
2037,Dennis Franz,1944-10-28,
2038,Dennis Gansel,1973-10-04,
2039,Dennis Hopper,1936-05-17,2010-05-29
2040,Dennis Iliadis,,
2041,Dennis L.A. White,,
2042,Dennis Quaid,1954-04-09,
2043,Denny Kirkwood,1975-03-20,
2044,Denys Arcand,1941-06-25,
2045,Denzel Washington,1954-12-28,
2046,Deon Richmond,1978-04-02,
2047,Deon Taylor,,
2048,Dequina Moore,,
2049,DeRay Davis,,
2050,Derek Brandon,,
2051,Derek Cianfrance,1974-01-23,
2052,Derek Graf,,
2053,Derek Jacobi,1938-10-22,
2054,Derek Jeter,1926-05-27,2006-09-14
2055,Derek Luke,1974-04-24,
2056,Derek Magyar,,
2057,Derek Mears,1972-04-29,
2058,Derek Wayne Johnson,1983-02-23,
2059,Derick Martini,1972-12-02,
2060,Dermot Crowley,1947-03-19,
2061,Derrick Borte,1967-12-07,
2062,Deryck Broom,,
2063,Des McAnuff,1952-06-19,
2064,Desmond Askew,1972-12-17,
2065,Desmond Llewelyn,1914-09-12,1999-12-19
2066,DeVaughn Nixon,,
2067,Devid Striesow,1973-10-01,
2068,Devin Ratray,1977-01-11,
2069,Devon Murray,1988-10-28,
2070,DeWayne Warren,,
2071,Dewey Nicks,1961-04-22,
2072,Dexter Fletcher,1966-01-31,
2073,Diahann Carroll,1935-07-17,
2074,Dian Bachar,1970-10-26,
2075,Diana Maria Riva,1969-07-22,
2076,Diana Ross,1944-03-26,
2077,Diana Scarwid,1955-08-27,
2078,Diana Vickers,1991-07-30,
2079,Diane Baker,1938-02-25,
2080,Diane English,,
2081,Diane Keaton,1946-01-05,
2082,Diane Ladd,1935-11-29,
2083,Diane Sorrentino,,
2084,Diane Venora,1952-08-10,
2085,Dianne Wiest,1948-03-28,
2086,Dichen Lachman,1982-02-22,
2087,Dick Cavett,1936-11-19,
2088,Dick Cheney,1908-05-06,1971-01-02
2089,Dick Clark,1929-11-30,2012-04-18
2090,Dick Powell,1904-11-14,1963-01-02
2091,Dick Richards,1912-08-10,1967-03-17
2092,Dick Van Patten,1928-12-09,2015-06-23
2093,Dick York,1928-09-04,1992-02-20
2094,Dickie Jones,1927-02-25,2014-07-07
2095,Diedrich Bader,1966-12-24,
2096,Diego Ramos,1972-11-29,
2097,Diego Velazquez,,
2098,Diganth,,
2099,Dileep Raj,,
2100,Diljit Dosanjh,,
2101,Dillon Casey,1983-10-29,
2102,Dilshad Vadsaria,1977-09-14,
2103,Dimple Kapadia,1957-06-08,
2104,Dinah Manoff,1956-01-25,
2105,Dinesh D'Souza,1961-04-25,
2106,Diora Baird,1983-04-06,
2107,Dirk Benedict,1945-03-01,
2108,Dirk Bogarde,1921-03-28,1999-05-08
2109,Dito Montiel,1965-07-26,
2110,Divine,1991-03-09,
2111,DJ Pooh,,
2112,Djimon Hounsou,1964-04-24,
2113,DMX,,
2114,Dolly Parton,1946-01-19,
2115,Dom DeLuise,1933-08-01,2009-05-04
2116,Domenick Lombardozzi,1976-03-25,
2117,Dominic Burns,,
2118,Dominic Colón,,
2119,Dominic Cooper,1978-06-02,
2120,Dominic Flores,,
2121,Dominic Monaghan,1976-12-08,
2122,Dominic Sena,1949-04-26,
2123,Dominick Brascia,,
2124,Dominik Castell,1965-07-20,
2125,Dominik García-Lorido,1983-08-16,
2126,Dominique McElligott,1986-05-03,
2127,Dominique Othenin-Girard,1958-02-13,
2128,Dominique Sanda,1948-03-11,
2129,Don Ameche,1908-05-31,1993-12-06
2130,Don Bluth,1937-09-13,
2131,Don Brooks,,2000-10-25
2132,Don Cheadle,1964-11-29,
2133,Don Coscarelli,1954-02-17,
2134,Don Francks,1932-02-28,2016-04-03
2135,Don Gordon,1938-09-29,2016-02-28
2136,Don Hall,,
2137,Don Johnson,1949-12-15,
2138,Don Kempf,,
2139,Don Mancini,1963-01-25,
2140,Don McKellar,1963-08-17,
2141,Don McManus,1959-11-08,
2142,Don Michael Paul,1963-04-17,
2143,Don Pardo,1959-12-17,
2144,Don Rickles,1926-05-08,
2145,Don S. Davis,1957-02-04,
2146,Don Scardino,1949-02-17,
2147,Don Siegel,1912-10-26,1991-04-20
2148,Don Stark,1954-07-05,
2149,Don Taylor,1920-12-13,1998-12-29
2150,Don Wallace,,
2151,Donald Austin,,
2152,Donald Faison,1974-06-22,
2153,Donald Gibb,1954-08-04,
2154,Donald Glover,1983-09-25,
2155,Donald Petrie,1954-04-02,
2156,Donald Pleasence,1919-10-05,1995-02-02
2157,Donald Rumsfeld,1932-07-09,
2158,Donald Sumpter,1943-02-13,
2159,Donald Trump,1946-06-14,
2160,Donald Watkins,,
2161,Donatas Banionis,1924-04-28,2014-09-04
2162,Dong-gun Jang,1972-03-07,
2163,Donna Murphy,1959-03-07,
2164,Donna Reed,1921-01-27,1986-01-14
2165,Donna Zovko,,
2166,Donnie Dunagan,1934-08-16,
2167,Donny Alamsyah,1978-12-07,
2168,Donny Boaz,,
2169,Donovan Scott,,
2170,Doona Bae,1979-10-11,
2171,Dorian Missick,1976-01-15,
2172,Dororthy Thorton,,
2173,Dorothy Lamour,1914-12-10,1996-09-22
2174,Dorothy Lyman,1947-04-18,
2175,Dottie Alexander,,
2176,Doug Atchison,,
2177,Doug Block,,
2178,Doug Bradley,1954-09-07,
2179,Doug Brochu,1990-09-29,
2180,Doug Cockle,1970-09-16,
2181,Doug E. Doug,1968-04-06,
2182,Doug Lefler,,
2183,Doug Liman,1965-07-24,
2184,Douglas Aarniokoski,,
2185,Douglas Cheek,,
2186,Douglas Haase,,
2187,Douglas McGrath,1958-02-02,
2188,Douglas Smith,1966-08-04,
2189,Douglas Trumbull,1942-04-08,
2190,Dougray Scott,1965-11-25,
2191,Dov Tiefenbach,1981-12-08,
2192,Dove Cameron,1996-01-15,
2193,Dr. Dre,1965-02-18,
2194,Drake,1986-10-24,
2195,Drake Bell,1986-06-27,
2196,Drake Doremus,1983-03-29,
2197,Drea de Matteo,1972-01-19,
2198,Dreama Walker,1986-06-20,
2199,Dree Hemingway,1987-12-04,
2200,Drew Barrymore,1975-02-22,
2201,Drew Carey,1958-05-23,
2202,Drew Fuller,1980-05-19,
2203,Drew Goddard,1975-02-26,
2204,Drew Powell,1976-01-19,
2205,Drew Sidora,1985-05-01,
2206,Drew Waters,1973-08-20,
2207,Dror Moreh,,
2208,Duane Jones,1937-02-02,1988-07-22
2209,Duane Journey,,
2210,Duke Johnson,1979-03-20,
2211,Dulé Hill,,
2212,Duncan Jones,1971-05-30,
2213,Duncan Tucker,,
2214,Dustin Diamond,1977-01-07,
2215,Dustin Fitzsimons,1986-12-19,
2216,Dustin Hoffman,1937-08-08,
2217,Dustin Ingram,1990-01-25,
2218,Dustin Lance Black,1974-06-10,
2219,Dustin Milligan,1985-07-28,
2220,Dustin Nguyen,1962-09-17,
2221,Dwayne Johnson,1972-05-02,
2222,Dwight H. Little,1956-01-13,
2223,Dwight Henry,,
2224,Dwight Schultz,1947-11-24,
2225,Dwight Yoakam,1956-10-23,
2226,Dyan Cannon,1937-01-04,
2227,Dylan Authors,,
2228,Dylan Baker,1959-10-07,
2229,Dylan Bank,,
2230,Dylan Kussman,,
2231,Dylan Minnette,1996-12-29,
2232,Dylan Moran,1971-11-03,
2233,Dylan Schombing,,
2234,Dylan Walsh,1963-11-17,
2235,E. Elias Merhige,,
2236,E.L. Katz,1981-01-07,
2237,Eamonn Walker,1962-06-12,
2238,Earl Cameron,1917-08-08,
2239,Eartha Kitt,1927-01-17,2008-12-25
2240,Ebon Moss-Bachrach,1978-08-17,
2241,Ed Begley Jr.,1949-09-16,
2242,Ed Decter,,
2243,Ed Gass-Donnelly,1977-08-17,
2244,Ed Harris,1950-11-28,
2245,Ed Lauter,1938-10-30,2013-10-16
2246,Ed Quinn,,
2247,Ed Skrein,1983-03-29,
2248,Ed Speleers,1988-04-07,
2249,Ed Stoppard,1974-09-16,
2250,Ed Wynn,1886-11-09,1966-06-19
2251,Eddie 'Piolin' Sotelo,,
2252,Eddie Albert,1906-04-22,2005-05-26
2253,Eddie Baroo,1968-09-25,
2254,Eddie Cahill,1978-01-15,
2255,Eddie Cibrian,1973-06-16,
2256,Eddie Deezen,1957-03-06,
2257,Eddie Griffin,1968-07-15,
2258,Eddie Izzard,1962-02-07,
2259,Eddie Jemison,,
2260,Eddie Jones,,
2261,Eddie Kaye Thomas,1980-10-31,
2262,Eddie Marsan,1968-06-09,
2263,Eddie O'Flaherty,1968-03-15,
2264,Eddie Peng,1982-03-24,
2265,Eddie Redmayne,1982-01-06,
2266,Eddie Rouse,1954-07-02,2014-12-07
2267,Eddie Spears,1982-11-29,
2268,Eddie Vedder,1964-12-23,
2269,Eden Riegel,1981-01-01,
2270,Edgar Arreola,,
2271,Edgar Buchanan,1903-03-20,1979-04-04
2272,Edgar Ramírez,1977-03-25,
2273,Edgar Tancangco,,
2274,Edgar Wright,1974-04-18,
2275,Edi Gathegi,1979-03-10,
2276,Edie Falco,1963-07-05,
2277,Edith Massey,1918-05-28,1984-10-24
2278,Edmund McMillen,,
2279,Edouard Baer,1966-12-01,
2280,Eduard Fernández,1964-08-25,
2281,Eduardo Noriega,1973-08-01,
2282,Eduardo Verástegui,1974-05-21,
2283,Edward Andrews,,
2284,Edward Burns,,
2285,Edward Conna,1968-06-19,
2286,Edward Dmytryk,1908-09-04,1999-07-01
2287,Edward Everett Horton,1886-03-18,1970-09-29
2288,Edward Fox,1937-04-13,
2289,Edward Hall,,
2290,Edward Norton,1969-08-18,
2291,Edward Zwick,1952-10-08,
2292,Edwin Hodge,1985-01-26,
2293,Edwin Neal,1945-07-12,
2294,Efram Potelle,,
2295,Eileen Brennan,1932-09-03,2013-07-28
2296,Eion Bailey,1976-06-08,
2297,Ejner Federspiel,1896-08-12,1981-11-24
2298,Ekachai Uekrongtham,,
2299,Elaine Bromka,1950-01-06,
2300,Elaine Cassidy,1979-12-31,
2301,Elaine Hendrix,1970-12-28,
2302,Elaine May,1932-04-21,
2303,Elaine Stritch,1925-02-02,2014-07-17
2304,Eldar Rapaport,,
2305,Elden Henson,1977-08-30,
2306,Elea Oberon,,
2307,Eleanor Bron,1938-03-14,
2308,Eleanor Parker,1922-06-26,2013-12-09
2309,Elena Anaya,1975-07-17,
2310,Elena Lyadova,1980-12-25,
2311,Elena Satine,1987-11-24,
2312,Eli Craig,1972-05-25,
2313,Eli Marienthal,1986-03-06,
2314,Eli Roth,1972-04-18,
2315,Elia Kazan,1909-09-07,2003-09-28
2316,Elijah Kelley,1986-08-01,
2317,Elina Abai Kyzy,,
2318,Elina Alminas,,
2319,Elio Germano,1980-09-25,
2320,Elisa Donovan,1971-02-03,
2321,Elisabeth Harnois,1979-05-26,
2322,Elise Muller,1967-08-15,
2323,Elise Neal,1966-03-14,
2324,Elissa Dowling,,
2325,Eliza Coupe,1981-04-06,
2326,Elizabeth Allen Rosenbaum,,
2327,Elizabeth Banks,1974-02-10,
2328,Elizabeth Berkley,1972-07-28,
